04/23/2020 08:39:46 PM -  Execution Started
04/23/2020 08:39:47 PM -  Checking mails from outlook
04/23/2020 08:39:53 PM -  Adding items to the Queue Started
04/23/2020 08:39:54 PM -  Adding items to the Queue Completed
04/23/2020 08:40:03 PM -  Found naive datetime 2020-04-23 15:22:23 on field last_modified_time. Assuming timezone Asia/Calcutta
04/23/2020 08:40:03 PM -  Found naive datetime 2020-04-23 15:07:53 on field last_modified_time. Assuming timezone Asia/Calcutta
04/23/2020 08:40:03 PM -  Triggering the bot execution started
04/23/2020 08:40:03 PM -  Getting List of Queues Started
04/23/2020 08:40:03 PM -  Getting List of Queue items Started
04/23/2020 08:40:04 PM -  Triggering the bot execution Completed
04/23/2020 08:40:04 PM -  Getting List of Queue items Started
04/23/2020 08:40:04 PM -  Getting List of Queue items Started
04/23/2020 08:40:04 PM -  Getting List of Queue items Started
04/23/2020 08:40:05 PM -  Getting List of Queue items Started
04/23/2020 08:40:05 PM -  Triggering the bot execution Failed
